subj,stage,region,n_voxels,pval,rval
35,late_practice,BA19R,800,0.04365307384160833,0.118971716355094
35,late_practice,BA20L,360,0.1361594476199437,0.08802589342278294
35,late_practice,BA20R,359,0.003326711955890831,0.17244676631376155
35,late_practice,BA37L,308,0.1265715866940353,0.09023293798116973
35,late_practice,BA37R,302,0.7358428991080448,0.01996417672531631
35,late_practice,BA38L,304,0.5255756777321345,0.037554556004910686
35,late_practice,BA38R,302,0.8919732567582911,0.00803737402360681
36,early_practice,BA17L,157,9.16452563585143e-19,0.48956232625543233
36,early_practice,BA17R,151,4.918737948396424e-16,0.45377894090636606
36,early_practice,BA18L,724,1.1194669766057593e-14,0.43429491647206453
36,early_practice,BA18R,717,1.1147310969074206e-19,0.5006756956280127
36,early_practice,BA19L,761,1.0877400997712968e-06,0.28261736763069967
36,early_practice,BA19R,800,1.1440423286211735e-11,0.38600595037091523
36,early_practice,BA20L,360,0.1036377987068958,0.09609531589603738
36,early_practice,BA20R,359,0.2316908676054487,0.07069507599193828
36,early_practice,BA37L,308,0.3211969502602368,0.058658987795300065
36,early_practice,BA37R,302,0.9012526595366802,-0.007343267167262892
36,early_practice,BA38L,304,0.14552553056178255,0.08598232849122037
36,early_practice,BA38R,302,0.03503433120863011,0.12427138286157954
36,late_practice,BA17L,157,1.779873272319925e-18,0.48597522191147235
36,late_practice,BA17R,151,9.811951125318236e-23,0.5350943054836221
36,late_practice,BA18L,724,1.5620558872496387e-40,0.68064018459591
36,late_practice,BA18R,717,8.097682776566576e-29,0.593682175989321
36,late_practice,BA19L,761,3.4153795104491475e-24,0.5502327783757099
36,late_practice,BA19R,800,1.0525782246669794e-10,0.3687210725949398
36,late_practice,BA20L,360,0.005264540927570164,0.16402330403567306
36,late_practice,BA20R,359,0.8335293438569327,-0.012438427763939133
36,late_practice,BA37L,308,0.0001388972569836471,0.22265722524374168
36,late_practice,BA37R,302,0.9631371137845607,0.0027352665944730403
36,late_practice,BA38L,304,0.08335138319234474,0.10221046455367871
36,late_practice,BA38R,302,0.0414870163020382,0.12021423048948904
37,early_practice,BA17L,157,3.8528922553299424e-07,0.29376339011534447
37,early_practice,BA17R,151,2.47842901975331e-12,0.39735479472909313
37,early_practice,BA18L,724,4.26168334317646e-16,0.4546437481262696
37,early_practice,BA18R,717,5.605865059985121e-27,0.5771588910775554
37,early_practice,BA19L,761,1.0606451018883605e-19,0.5009332306976695
37,early_practice,BA19R,800,2.2533663765357534e-20,0.5088471234648672
37,early_practice,BA20L,360,0.03282146188996356,0.12580954270508238
37,early_practice,BA20R,359,0.03407191166161647,0.12492989979399496
37,early_practice,BA37L,308,0.07469722609574594,0.10519007315643708
37,early_practice,BA37R,302,0.04433897821100758,0.11858906782756004
37,early_practice,BA38L,304,0.18102981537829219,0.07903868220805826
37,early_practice,BA38R,302,0.09024173801028869,0.1000117259481937
37,late_practice,BA17L,157,4.535307300566324e-34,0.6361471980031677
37,late_practice,BA17R,151,1.1871284441376378e-83,0.8552909951272559
37,late_practice,BA18L,724,2.057515680015438e-48,0.7259629729334661
37,late_practice,BA18R,717,3.31432628657736e-98,0.8874442795201478
37,late_practice,BA19L,761,1.4911566110917794e-20,0.5109221708754195
37,late_practice,BA19R,800,7.919409834856282e-32,0.61880181640472
37,late_practice,BA20L,360,0.03220344754435075,0.12625487607762143
37,late_practice,BA20R,359,0.4944068880815066,0.04042415087911949
37,late_practice,BA37L,308,0.1930837759649221,0.07691308413084944
37,late_practice,BA37R,302,0.0003989727860030204,0.2072725302782673
37,late_practice,BA38L,304,0.0005071273762110086,0.20361705838993335
37,late_practice,BA38R,302,0.0512680171282566,0.11497829453464561
38,early_practice,BA17L,157,1.4933564873346299e-06,0.2791155950946659
38,early_practice,BA17R,151,1.801288187571391e-07,0.3016377130818224
38,early_practice,BA18L,724,2.477859003769671e-23,0.541391486209869
38,early_practice,BA18R,717,5.263568077363555e-38,0.664131443271959
38,early_practice,BA19L,761,1.0328442329513102e-11,0.38677835642457137
38,early_practice,BA19R,800,9.049043415220789e-05,0.22861205805243462
38,early_practice,BA20L,360,0.0015230566321460654,0.18598532299537543
38,early_practice,BA20R,359,0.15056184535862138,0.08492466628538922
38,early_practice,BA37L,308,0.004928047726253197,0.1652590184484517
38,early_practice,BA37R,302,0.012308176170232171,0.147336401704316
38,early_practice,BA38L,304,0.022725193695480157,0.13420963406634054
38,early_practice,BA38R,302,0.1511089332290839,0.08481139941817417
38,late_practice,BA17L,157,5.1801650968552085e-23,0.5380335652543312
38,late_practice,BA17R,151,1.0533819016216825e-35,0.6481264991820221
38,late_practice,BA18L,724,5.618369261316865e-52,0.7438575751216332
38,late_practice,BA18R,717,4.290229389299991e-94,0.8792209276945733
38,late_practice,BA19L,761,7.712873154524276e-11,0.37120523932986166
38,late_practice,BA19R,800,1.11280439901317e-19,0.5006846567548676
38,late_practice,BA20L,360,1.3297850751392512e-05,0.25352691319024484
